 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.x1.xmb6.msky130_fd_ m.x1.xmb5.msky130_fd_ m.x1.xmb4.msky130_fd_
      model x1.xmb6:sky130_fd_pr_ x1.xmb5:sky130_fd_pr_ x1.xmb4:sky130_fd_pr_
        vds              0.679027               1.50114              0.383726
        cgg           2.64703e-14           2.96206e-14           6.40263e-14
        cgs          -2.33722e-14          -8.66573e-16          -2.36741e-14
        cgd          -1.70835e-17           1.36965e-18          -1.68926e-17
        cbg          -5.02842e-15          -2.85216e-14          -4.07764e-14
        cbd          -1.07351e-17           1.09735e-18          -1.29086e-17
        cbs          -3.80342e-15          -6.10675e-16          -6.71762e-15
        cdg           -8.5926e-15          -4.39658e-16          -9.32318e-15
        cdd           2.19662e-17          -9.72553e-19           2.34129e-17
        cds           1.08806e-14           5.90989e-16           1.21765e-14
        csg          -1.28493e-14          -6.59301e-16          -1.39266e-14
        csd           5.85244e-18          -1.49444e-18           6.38829e-18
        css            1.6295e-14            8.8626e-16           1.82152e-14
        cgb          -3.08108e-15          -2.87554e-14          -4.03352e-14
        cdb          -2.30994e-15          -1.50358e-16          -2.87674e-15
        csb          -3.45155e-15          -2.25465e-16            -4.295e-15
        cbb           8.84258e-15           2.91312e-14            4.7507e-14
      capbd           2.43226e-15           6.98201e-15           1.45766e-14
      capbs           3.33416e-15           1.53516e-14            1.9825e-14
         qg            2.2474e-14           2.52784e-14           9.93707e-14
         qb          -1.61472e-14          -2.51155e-14           -9.6908e-14
         qd          -2.53382e-15          -6.51746e-17          -9.87422e-16
         qs          -3.79293e-15          -9.77342e-17          -1.47525e-15
       qinv                     0                     0                     0
       qdef                     0                     0                    -0
       gcrg                     0                     0                     0
       gtau                     0                     0                     0
    vgsteff              0.109321           5.63381e-09              0.043423
     vdseff              0.117043             0.0401756             0.0627119
       cgso           1.23157e-15            7.3894e-15                 1e-15
       cgdo           1.23157e-15            7.3894e-15                 1e-15
       cgbo           9.80242e-20           2.88145e-19              5.24e-19
       weff           4.95628e-06           4.95628e-06           4.98505e-06
       leff           9.76136e-07           4.76136e-07             4.944e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.x1.xmb2.msky130_fd_ m.x1.xmp.msky130_fd_p m.x1.xm8.msky130_fd_p
      model x1.xmb2:sky130_fd_pr_ x1.xmp:sky130_fd_pr__ x1.xm8:sky130_fd_pr__
          l                 5e-07               1.5e-07                 1e-06
          w                0.0001                 0.002                 3e-05
          m                     1                     1                     1
         nf                    20                   400                     1
         sa                     0                     0                     0
         sb                     0                     0                     0
         sd                     0                     0                     0
        sca                     0                     0                     0
        scb                     0                     0                     0
        scc                     0                     0                     0
         sc                     0                     0                     0
        min                     0                     0                     0
         ad              1.45e-11               2.9e-10               8.7e-12
         as             1.595e-11            2.9145e-10               8.7e-12
         pd             0.0001058              0.002116             6.058e-05
         ps            0.00011638            0.00212658             6.058e-05
        nrd                0.0029              0.000145            0.00966667
        nrs                0.0029              0.000145            0.00966667
        off                     0                     0                     0
       rbdb                    50                    50                    50
       rbsb                    50                    50                    50
       rbpb                    50                    50                    50
       rbps                    50                    50                    50
       rbpd                    50                    50                    50
