 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xmb1.msky130_fd_pr_ m.xmb2.msky130_fd_pr_ m.xmp.msky130_fd_pr__
      model xmb1:sky130_fd_pr__pf xmb2:sky130_fd_pr__nf xmp:sky130_fd_pr__pfe
        cgg           1.60335e-13           1.49444e-13           2.64682e-14
        cgs          -1.42513e-13          -1.36123e-13          -2.33713e-14
        cgd          -1.45164e-16            3.4329e-16           -1.5235e-17
        cbg          -2.85644e-14          -3.01408e-14          -5.02975e-15
        cbd          -8.39138e-17            3.6475e-17          -9.57355e-18
        cbs          -2.41278e-14          -1.58065e-14          -3.80274e-15
        cdg          -5.28292e-14          -4.77426e-14          -8.58989e-15
        cdd           1.80705e-16          -1.43365e-16           1.95989e-17
        cds           6.67257e-14           6.07907e-14           1.08794e-14
        csg          -7.89413e-14          -7.15611e-14          -1.28486e-14
        csd           4.83735e-17            -2.364e-16            5.2097e-18
        css            9.9915e-14           9.11383e-14           1.62947e-14
        cgb          -1.76769e-14          -1.36652e-14          -3.08167e-15
        cdb          -1.40772e-14          -1.29048e-14          -2.30908e-15
        csb           -2.1022e-14          -1.93407e-14          -3.45132e-15
        cbb           5.27761e-14           4.59108e-14           8.84207e-15
      capbd           1.45984e-14           2.19166e-14            2.4139e-15
      capbs           1.98984e-14            3.3127e-14           3.33416e-15
         qg           1.36479e-13           1.16121e-13           2.24736e-14
         qb          -9.47622e-14          -8.43974e-14          -1.61475e-14
         qd          -1.67104e-14          -1.26941e-14          -2.53335e-15
         qs           -2.5006e-14          -1.90297e-14          -3.79281e-15
       qinv                     0                     0                     0
       qdef                     0                    -0                     0
       gcrg                     0                     0                     0
       gtau                     0                     0                     0
    vgsteff               0.12857              0.116156              0.109321
     vdseff              0.132063              0.139508              0.117121
       cgso            7.3894e-15           4.44178e-15           1.23157e-15
       cgdo            7.3894e-15            4.3504e-15           1.23157e-15
       cgbo           9.80242e-20                     0           9.80242e-20
       weff           2.99563e-05           5.99854e-05           4.95628e-06
       leff           9.76136e-07           5.27988e-07           9.76136e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xm5.msky130_fd_pr__ m.xm4.msky130_fd_pr__ m.xm3.msky130_fd_pr__
      model xm5:sky130_fd_pr__nfe xm4:sky130_fd_pr__pfe xm3:sky130_fd_pr__pfe
          l                 1e-06                 5e-07                 5e-07
          w                 5e-06                 5e-06                 5e-06
          m                     1                     1                     1
         nf                     1                     1                     1
         sa                     0                     0                     0
         sb                     0                     0                     0
         sd                     0                     0                     0
        sca                     0                     0                     0
        scb                     0                     0                     0
        scc                     0                     0                     0
         sc                     0                     0                     0
        min                     0                     0                     0
         ad              1.45e-12              1.45e-12              1.45e-12
         as              1.45e-12              1.45e-12              1.45e-12
         pd             1.058e-05             1.058e-05             1.058e-05
         ps             1.058e-05             1.058e-05             1.058e-05
        nrd                 0.058                 0.058                 0.058
        nrs                 0.058                 0.058                 0.058
        off                     0                     0                     0
       rbdb                    50                    50                    50
       rbsb                    50                    50                    50
       rbpb                    50                    50                    50
       rbps                    50                    50                    50
       rbpd                    50                    50                    50
     delvto                     0                     0                     0
      mulu0                     1                     1                     1
        xgw                     0                     0                     0
      ngcon                     1                     1                     1
   trnqsmod                     0                     0                     0
   acnqsmod                     0                     0                     0
   rbodymod                     1                     1                     1
   rgatemod                     0                     0                     0
     geomod                     0                     0                     0
    rgeomod                     0                     0                     0
       gmbs           3.04506e-05           1.62469e-05           1.61914e-05
         gm           0.000130596           6.29295e-05           6.27099e-05
        gds           2.31401e-06           4.52598e-07           4.58094e-07
      vdsat              0.119126              0.122696              0.122593
        vth               0.58946              0.981263              0.981425
         id           9.45858e-06           4.73899e-06           4.71968e-06
        ibd          -2.49692e-13          -1.10326e-12          -1.06086e-12
        ibs           -6.3179e-19          -2.99091e-19          -2.97871e-19
        gbd            1.0001e-12                 1e-12                 1e-12
        gbs           1.15165e-12           1.08819e-12           1.08819e-12
       isub           1.04489e-20            5.8389e-14           3.60546e-14
      igidl                     0                     0                     0
      igisl                     0                     0                     0
        igs                     0                     0                     0
        igd                     0                     0                     0
        igb                     0                     0                     0
       igcs                     0                     0                     0
       igcd                     0                     0                     0
        vbs          -5.48595e-07          -2.74844e-07          -2.73724e-07
        vgs               0.70134               1.05775               1.05775
        vds              0.244624               1.10015               1.05775
        cgg           2.70594e-14           1.20815e-14           1.20792e-14
        cgs          -2.32709e-14          -1.08127e-14            -1.081e-14
        cgd          -8.53972e-16           3.09793e-17           3.08231e-17
        cbg          -4.65824e-15          -2.54992e-15          -2.54992e-15
        cbd          -5.36628e-16           3.58014e-18           3.48782e-18
        cbs          -3.76641e-15           -1.3343e-15          -1.33402e-15
        cdg          -9.32771e-15          -3.81438e-15          -3.81366e-15
        cdd           1.06047e-15          -1.31261e-17          -1.29332e-17
        cds           1.07803e-14           4.86043e-15           4.85935e-15
        csg          -1.30735e-14          -5.71717e-15          -5.71566e-15
        csd           3.30127e-16          -2.14334e-17          -2.13777e-17
        css            1.6257e-14            7.2866e-15           7.28468e-15
        cgb          -2.93456e-15          -1.29972e-15          -1.30006e-15
        cdb          -2.51309e-15          -1.03292e-15          -1.03276e-15
        csb          -3.51364e-15            -1.548e-15          -1.54764e-15
        cbb           8.96128e-15           3.88064e-15           3.88046e-15
      capbd           2.90477e-15           1.88623e-15           1.90671e-15
      capbs           3.33416e-15            2.8131e-15            2.8131e-15
         qg           2.25415e-14           9.41957e-15           9.41826e-15
         qb          -1.61048e-14          -7.04375e-15          -7.04389e-15
         qd           -2.6188e-15          -9.50692e-16          -9.50139e-16
         qs          -3.81787e-15          -1.42513e-15          -1.42423e-15
       qinv                     0                     0                     0
       qdef                     0                    -0                    -0
       gcrg                     0                     0                     0
       gtau                     0                     0                     0
    vgsteff              0.109321             0.0939503             0.0938267
     vdseff              0.110841              0.121455              0.121297
       cgso           1.23157e-15           3.70144e-16           3.70144e-16
       cgdo           1.23157e-15           3.62552e-16           3.64189e-16
       cgbo           9.80242e-20                     0                     0
       weff           4.95628e-06           4.98539e-06           4.98539e-06
       leff           9.76136e-07           5.27988e-07           5.27988e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xm2.msky130_fd_pr__ m.xm1.msky130_fd_pr__
      model xm2:sky130_fd_pr__nfe xm1:sky130_fd_pr__nfe
          l                 5e-07                 5e-07
          w                 1e-05                 1e-05
          m                     1                     1
         nf                     1                     1
         sa                     0                     0
         sb                     0                     0
         sd                     0                     0
        sca                     0                     0
        scb                     0                     0
        scc                     0                     0
         sc                     0                     0
        min                     0                     0
         ad               2.9e-12               2.9e-12
         as               2.9e-12               2.9e-12
         pd             2.058e-05             2.058e-05
         ps             2.058e-05             2.058e-05
        nrd                 0.029                 0.029
        nrs                 0.029                 0.029
        off                     0                     0
       rbdb                    50                    50
       rbsb                    50                    50
       rbpb                    50                    50
       rbps                    50                    50
       rbpd                    50                    50
     delvto                     0                     0
      mulu0                     1                     1
        xgw                     0                     0
      ngcon                     1                     1
   trnqsmod                     0                     0
   acnqsmod                     0                     0
   rbodymod                     1                     1
   rgatemod                     0                     0
     geomod                     0                     0
    rgeomod                     0                     0
       gmbs           2.03724e-05           2.02974e-05
         gm             0.0001038           0.000103406
        gds           1.16248e-06           1.10719e-06
      vdsat             0.0599445             0.0597683
        vth              0.666412              0.666344
         id           4.73897e-06            4.7197e-06
        ibd          -7.09752e-13          -7.52152e-13
        ibs           -2.5452e-13           -2.5452e-13
        gbd                 1e-12                 1e-12
        gbs            1.0002e-12            1.0002e-12
       isub           3.02619e-20           3.33622e-20
      igidl                     0                     0
      igisl                     0                     0
        igs                     0                     0
        igd                     0                     0
        igb                     0                     0
       igcs                     0                     0
       igcd                     0                     0
        vbs             -0.244625             -0.244625
        vgs              0.656025              0.655375
        vds              0.455226              0.497626
        cgg           2.24353e-14            2.2407e-14
        cgs          -1.92306e-14          -1.92026e-14
        cgd          -1.99498e-18           5.07775e-18
        cbg          -4.95144e-15          -4.95751e-15
        cbd          -1.51115e-17          -1.04286e-17
        cbs          -2.07268e-15           -2.0708e-15
        cdg          -7.01734e-15          -6.99879e-15
        cdd           2.43372e-17           1.51345e-17
        cds           8.53347e-15           8.52006e-15
        csg          -1.04665e-14          -1.04507e-14
        csd          -7.23076e-18          -9.78361e-18
        css           1.27698e-14           1.27534e-14
        cgb          -3.20268e-15          -3.20946e-15
        cdb          -1.54047e-15           -1.5364e-15
        csb          -2.29609e-15          -2.29287e-15
        cbb           7.03923e-15           7.03873e-15
      capbd           4.80895e-15           4.74139e-15
      capbs           5.78825e-15           5.78825e-15
         qg           1.93701e-14           1.93556e-14
         qb          -1.56486e-14          -1.56459e-14
         qd           -1.4922e-15          -1.48682e-15
         qs           -2.2293e-15          -2.22287e-15
       qinv                     0                     0
       qdef                     0                     0
       gcrg                     0                     0
       gtau                     0                     0
    vgsteff             0.0234703             0.0232386
     vdseff             0.0584707             0.0584377
       cgso           2.46313e-15           2.46313e-15
       cgdo           2.46313e-15           2.46313e-15
       cgbo           4.80242e-20           4.80242e-20
       weff           9.95628e-06           9.95628e-06
       leff           4.76136e-07           4.76136e-07

