 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xmb1.msky130_fd_pr_ m.xmb2.msky130_fd_pr_ m.xmp.msky130_fd_pr__
      model xmb1:sky130_fd_pr__pf xmb2:sky130_fd_pr__nf xmp:sky130_fd_pr__pfe
        cgg           1.55181e-13           1.45703e-13             2.526e-14
        cgs          -1.38358e-13           -1.3095e-13          -2.21841e-14
        cgd          -5.83409e-17           2.55836e-16          -2.22998e-17
        cbg          -2.91795e-14          -3.11332e-14          -5.03558e-15
        cbd          -3.51404e-17           2.02912e-17          -1.42378e-17
        cbs          -2.46671e-14          -1.77347e-14          -3.91695e-15
        cdg          -5.04538e-14          -4.58682e-14          -8.10711e-15
        cdd           7.40528e-17          -8.71417e-17            2.8837e-17
        cds           6.52461e-14           5.95045e-14           1.04499e-14
        csg          -7.55472e-14          -6.87018e-14          -1.21173e-14
        csd           1.94284e-17          -1.88985e-16           7.70058e-18
        css           9.77793e-14           8.91806e-14           1.56511e-14
        cgb           -1.6764e-14          -1.50087e-14          -3.05366e-15
        cdb          -1.48664e-14          -1.35492e-14           -2.3716e-15
        csb          -2.22514e-14          -2.02898e-14           -3.5415e-15
        cbb           5.38818e-14           4.88477e-14           8.96676e-15
      capbd           1.57801e-14           2.55087e-14           2.85704e-15
      capbs           2.40342e-14           3.72232e-14           4.01749e-15
         qg           1.48732e-13           1.23671e-13           2.40691e-14
         qb          -9.86242e-14          -8.85975e-14          -1.66065e-14
         qd          -2.00572e-14          -1.40386e-14          -2.98898e-15
         qs          -3.00508e-14          -2.10349e-14          -4.47359e-15
       qinv                     0                     0                     0
       qdef                     0                    -0                     0
       gcrg                     0                     0                     0
       gtau                     0                     0                     0
    vgsteff              0.172154              0.133034              0.143183
     vdseff              0.169002              0.163896              0.152744
       cgso           7.49853e-15           5.02256e-15           1.24036e-15
       cgdo           7.49853e-15            4.9771e-15           1.24036e-15
       cgbo           1.00123e-19                     0           1.00123e-19
       weff           2.99112e-05           5.99404e-05           4.91124e-06
       leff           1.00039e-06           5.52243e-07           1.00039e-06

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xm5.msky130_fd_pr__ m.xm4.msky130_fd_pr__ m.xm3.msky130_fd_pr__
      model xm5:sky130_fd_pr__nfe xm4:sky130_fd_pr__pfe xm3:sky130_fd_pr__pfe
          l                 1e-06                 5e-07                 5e-07
          w                 5e-06                 5e-06                 5e-06
          m                     1                     1                     1
         nf                     1                     1                     1
         sa                     0                     0                     0
         sb                     0                     0                     0
         sd                     0                     0                     0
        sca                     0                     0                     0
        scb                     0                     0                     0
        scc                     0                     0                     0
         sc                     0                     0                     0
        min                     0                     0                     0
         ad              1.45e-12              1.45e-12              1.45e-12
         as              1.45e-12              1.45e-12              1.45e-12
         pd             1.058e-05             1.058e-05             1.058e-05
         ps             1.058e-05             1.058e-05             1.058e-05
        nrd                 0.058                 0.058                 0.058
        nrs                 0.058                 0.058                 0.058
        off                     0                     0                     0
       rbdb                    50                    50                    50
       rbsb                    50                    50                    50
       rbpb                    50                    50                    50
       rbps                    50                    50                    50
       rbpd                    50                    50                    50
     delvto                     0                     0                     0
      mulu0                     1                     1                     1
        xgw                     0                     0                     0
      ngcon                     1                     1                     1
   trnqsmod                     0                     0                     0
   acnqsmod                     0                     0                     0
   rbodymod                     1                     1                     1
   rgatemod                     0                     0                     0
     geomod                     0                     0                     0
    rgeomod                     0                     0                     0
       gmbs           2.56034e-05           1.46818e-05           1.46407e-05
         gm           0.000107944           5.25514e-05           5.24025e-05
        gds           2.17502e-06           4.17517e-07           4.24978e-07
      vdsat              0.155603              0.147354              0.147281
        vth               0.51865              0.847233              0.847353
         id           9.55586e-06           4.78569e-06           4.77058e-06
        ibd          -5.57689e-11          -4.20878e-11           -4.2052e-11
        ibs          -6.94841e-16          -2.44069e-16          -2.43298e-16
        gbd           3.39718e-12                 1e-12                 1e-12
        gbs           1.25446e-09           8.80139e-10           8.80139e-10
       isub           1.02804e-20           7.88565e-15           4.48532e-15
      igidl                     0                     0                     0
      igisl                     0                     0                     0
        igs                     0                     0                     0
        igd                     0                     0                     0
        igb                     0                     0                     0
       igcs                     0                     0                     0
       igcd                     0                     0                     0
        vbs          -5.53543e-07          -2.77044e-07          -2.76168e-07
        vgs              0.687033              0.934436              0.934436
        vds              0.277632              0.970309              0.934436
        cgg           2.58055e-14           1.14738e-14           1.14726e-14
        cgs          -2.20265e-14          -1.00772e-14          -1.00755e-14
        cgd          -8.68036e-16           2.33605e-17           2.30883e-17
        cbg          -4.68729e-15          -2.66685e-15          -2.66676e-15
        cbd          -5.54218e-16           2.70466e-18           2.53966e-18
        cbs          -3.84534e-15          -1.44366e-15          -1.44349e-15
        cdg          -8.79275e-15          -3.52512e-15           -3.5249e-15
        cdd           1.08666e-15          -9.14748e-18          -8.80392e-18
        cds           1.02792e-14           4.61022e-15           4.60964e-15
        csg          -1.23255e-14          -5.28182e-15          -5.28093e-15
        csd            3.3559e-16          -1.69177e-17           -1.6824e-17
        css           1.55927e-14            6.9106e-15           6.90939e-15
        cgb          -2.91101e-15          -1.41998e-15          -1.42013e-15
        cdb          -2.57306e-15          -1.07596e-15          -1.07594e-15
        csb          -3.60278e-15          -1.61186e-15          -1.61164e-15
        cbb           9.08685e-15            4.1078e-15            4.1077e-15
      capbd           3.39928e-15           2.11063e-15           2.13238e-15
      capbs           4.01749e-15           3.15397e-15           3.15397e-15
         qg           2.41408e-14           1.00526e-14           1.00518e-14
         qb          -1.65608e-14          -7.31344e-15          -7.31353e-15
         qd          -3.07987e-15          -1.09623e-15          -1.09591e-15
         qs          -4.50013e-15          -1.64293e-15          -1.64233e-15
       qinv                     0                     0                     0
       qdef                     0                    -0                    -0
       gcrg                     0                     0                     0
       gtau                     0                     0                     0
    vgsteff              0.143183              0.109364              0.109274
     vdseff              0.144715              0.145589              0.145438
       cgso           1.24036e-15           4.15081e-16           4.15081e-16
       cgdo           1.24036e-15           4.06699e-16           4.08272e-16
       cgbo           1.00123e-19                     0                     0
       weff           4.91124e-06           4.94035e-06           4.94035e-06
       leff           1.00039e-06           5.52243e-07           5.52243e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xm2.msky130_fd_pr__ m.xm1.msky130_fd_pr__
      model xm2:sky130_fd_pr__nfe xm1:sky130_fd_pr__nfe
          l                 5e-07                 5e-07
          w                 1e-05                 1e-05
          m                     1                     1
         nf                     1                     1
         sa                     0                     0
         sb                     0                     0
         sd                     0                     0
        sca                     0                     0
        scb                     0                     0
        scc                     0                     0
         sc                     0                     0
        min                     0                     0
         ad               2.9e-12               2.9e-12
         as               2.9e-12               2.9e-12
         pd             2.058e-05             2.058e-05
         ps             2.058e-05             2.058e-05
        nrd                 0.029                 0.029
        nrs                 0.029                 0.029
        off                     0                     0
       rbdb                    50                    50
       rbsb                    50                    50
       rbpb                    50                    50
       rbps                    50                    50
       rbpd                    50                    50
     delvto                     0                     0
      mulu0                     1                     1
        xgw                     0                     0
      ngcon                     1                     1
   trnqsmod                     0                     0
   acnqsmod                     0                     0
   rbodymod                     1                     1
   rgatemod                     0                     0
     geomod                     0                     0
    rgeomod                     0                     0
       gmbs           1.68587e-05             1.681e-05
         gm           8.18955e-05           8.16459e-05
        gds           8.81779e-07           8.50078e-07
      vdsat             0.0802396             0.0800716
        vth              0.603298              0.603249
         id           4.78562e-06           4.77051e-06
        ibd          -1.09193e-10          -1.09229e-10
