 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xmb1.msky130_fd_pr_ m.xmb2.msky130_fd_pr_ m.xmp.msky130_fd_pr__
      model xmb1:sky130_fd_pr__pf xmb2:sky130_fd_pr__nf xmp:sky130_fd_pr__pfe
        cgg           1.66925e-13           1.54713e-13           2.79463e-14
        cgs          -1.48757e-13          -1.43038e-13          -2.49187e-14
        cgd          -2.60818e-16           4.32251e-16          -1.22201e-17
        cbg          -2.81433e-14          -2.90804e-14          -5.05482e-15
        cbd          -1.45505e-16           4.15801e-17          -7.56812e-18
        cbs           -2.3487e-14          -1.40807e-14          -3.66696e-15
        cdg          -5.57213e-14          -5.02697e-14          -9.17013e-15
        cdd           3.19367e-16           -1.8421e-16           1.56409e-17
        cds           6.90071e-14           6.28638e-14           1.14444e-14
        csg          -8.30599e-14          -7.53628e-14          -1.37213e-14
        csd            8.6956e-17          -2.89621e-16           4.14731e-18
        css           1.03237e-13           9.42553e-14           1.71413e-14
        cgb           -1.7907e-14          -1.21067e-14          -3.01533e-15
        cdb          -1.36051e-14          -1.24099e-14          -2.28987e-15
        csb          -2.02637e-14          -1.86029e-14          -3.42415e-15
        cbb           5.17758e-14           4.31195e-14           8.72935e-15
      capbd            1.2662e-14           1.94359e-14           1.99722e-15
      capbs           1.62841e-14           2.97946e-14           2.73538e-15
         qg           1.28783e-13           1.08942e-13           2.15404e-14
         qb          -9.18102e-14          -8.01291e-14          -1.58108e-14
         qd          -1.48228e-14          -1.15282e-14          -2.29426e-15
         qs          -2.21504e-14          -1.72842e-14          -3.43538e-15
       qinv                     0                     0                     0
       qdef                     0                    -0                     0
       gcrg                     0                     0                     0
       gtau                     0                     0                     0
    vgsteff             0.0995405              0.101367             0.0854797
     vdseff              0.103554                0.1185             0.0915739
       cgso           7.29312e-15           4.17516e-15           1.22463e-15
       cgdo           7.29312e-15           4.06634e-15           1.22463e-15
       cgbo           9.62837e-20                     0           9.62837e-20
       weff           3.00013e-05           6.00304e-05           5.00132e-06
       leff           9.51881e-07           5.03733e-07           9.51881e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xm5.msky130_fd_pr__ m.xm4.msky130_fd_pr__ m.xm3.msky130_fd_pr__
      model xm5:sky130_fd_pr__nfe xm4:sky130_fd_pr__pfe xm3:sky130_fd_pr__pfe
          l                 1e-06                 5e-07                 5e-07
          w                 5e-06                 5e-06                 5e-06
          m                     1                     1                     1
         nf                     1                     1                     1
         sa                     0                     0                     0
         sb                     0                     0                     0
         sd                     0                     0                     0
        sca                     0                     0                     0
